fdo_term,kind,target,mechanism,ap_rule,source,note
dct:created,property,,none,,,"A date about the package, not about the documented object. P4 on the FDO would claim the object existed then."
dct:creator,property,,none,,,"Creatorship in CRM needs an E65 Creation event, which the FDO does not record. Minting one would be modelling rather than mapping (A3). The relation stays at dct: and is well understood there."
dct:hasVersion,property,,none,,,Version of the package. LRMoo would be the CRM answer and the profile explicitly rejects it for anything short of bibliographic work.
dct:issued,property,,none,,,As dct:created; S4 uses it on the dcat:CatalogRecord instead.
dct:license,property,,none,,,No CRM property for rights. Stays at dct: and schema:; the profile is silent and inventing a term would be worse than leaving it.
dct:modified,property,,none,,,As dct:created.
dct:publisher,property,,none,,,As dct:creator.
fdo:path,property,,none,,,Package-relative path inside the ZIP. Meaningless outside the package; S4 rewrites the value into a registry IRI but the property gets no anchor.
fdo:sha256,property,,none,,,"No CRM property fits a checksum. E42 Identifier is discouraged by the profile, and a digest does not identify the object anyway. The term stays in the fdo: namespace."
geosparql:hasGeometry,property,,none,section 2 Spatial data,,"Already profile-conform and deliberately left alone: the profile replaces P168 place is defined by with geo:hasGeometry, which is exactly what the generator writes."
heritage_object,field,,none,,,Corrects the draft mapping. The harvested TTL has no node for the physical object at all - the FDO and the object it documents are the same node - so E22 Human-Made Object cannot be anchored without inventing a node. The fix belongs upstream in fdo-squirrel.
schema:funding,property,,none,,,A bare string (Community Project) with no funder IRI. Nothing to anchor; reported in the quality report.
technique.acquisition,field,,none,,,"Corrects the draft mapping. The acquisition survives only as the JSON literal in dct:provenance, so D2 Digitization Process, D8 Digital Device and P16 used specific object have no structured source. Anchoring it means parsing a string, which is not mapping."
crm:E73,class,crm:E73_Information_Object,normalise,,,Abbreviated class IRI written by the generator. It does not resolve and matches no vocabulary. S4 replaces it.
crmdig:D1,class,crmdig:D1_Digital_Object,normalise,,,"Abbreviated. After normalisation this is redundant beside E73, because D1 is a subclass of E73; both are kept, because dropping a statement would be a content change."
crmdig:D9,class,crmdig:D9_Data_Object,normalise,,,"Abbreviated. 491 occurrences in the corpus, one per distribution."
